	city	City name (CDP)	City name (carbonn)	City name (PKU)	City name (GEA)	City name (UITP)	City name (WB)	Definition (CDP)	Definition (carbonn)	Definition (WB)	Study year (WB)	Reporting year (CDP)	Scope-1 GHG emissions [tCO2 or tCO2-eq]	Scope-1 source dataset	Scope-1 GHG emissions units	Year of emission	Emissions protocol	Gases included (CDP)	Methodology details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Scope-2 (CDP) [tCO2-eq]	Total emissions (CDP) [tCO2-eq]	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean (CDP) [tCO2]	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean (CDP) [tCO2]	Scope fraction (CDP)	CO2 emissions per capita (PKU) [tCO2/capita]	City location (CDP) [degrees]	Latitude (others) [degrees]	Longitude (others) [degrees]	Coordinate source (others)	Country	Region	Population (CDP)	Population year (CDP)	Population (carbonn)	Population year (carbonn)	Urban population (PKU)	Population (GEA)	Population (UITP)	Population (WB)	Population year (WB)	Population (others)	Population year (others)	Population source (others)	Population 1950 (WB)	Population 1990 (WB)	Population 2010 (WB)	Population growth rate 1950-2010 (WB) [people/60years]	Population growth rate 1990-2010 (WB) [people/20years]	Ancillary from GEA+	City area (CDP) [km2]	City area (GEA) [km2]	City area (WB) [km2]	Built-up area (PKU) [km2]	City area (others) [km2]	City area source year (others)	City area source (others)	Population density (GEA) [people/km2]	Population density (UITP) [people/km2]	Population density (WB) [people/km2]	Population/sqrt(area) (GEA) [people/km]	Population/sqrt(area) (WB) [people/km]	Average altitude [m]	Average annual temperature (CDP) [degrees Celsius]	Weather station ID (GEA+)	CDD 23C (GEA+) [degrees C × days]	HDD 15.5C (GEA+) [degrees C × days]	HDD 15.5C (clim) [degrees C × days]	CDD 23C (clim) [degrees C × days]	GDP (CDP) [multiple units]	GDP unit (CDP)	GDP year (CDP)	GDP source (CDP)	GDP (carbonn) [multiple units]	nGDP (carbonn) [multiple units]	GDP unit (carbonn)	GDP year (carbonn)	GDP (PKU) [10000 RMB]	Income per capita (PKU) [RMB/capita]	GDP-PPP (others) [$BN]	GDP-PPP/capita (others) [USD/capita]	GDP-PPP source (others)	GDP-PPP year (others)	nGDP (others) [$BN]	nGDP/capita (others) [USD/capita]	nGDP source (others)	nGDP year (others)	GDP-PPP/capita (GEA) [USD/year]	GDP-PPP/capita (UITP) [USD/year]	GDP-PPP/capita (WB) [USD/year]	Total final consumption per capita (GEA) [GJ/capita/yr]	Energy per capita CO2 (WB) [tCO2-eq/capita/yr]	Diesel price (GEA+) [USD/liter]	Gasoline price (GEA+) [USD/liter]	Center of commerce index (GEA+) [dimensionless]	Household size (GEA+) [people/household]	Household size year (GEA+)	Household source (GEA+)	Household size comment (GEA+)	Urbanization ratio (GEA+) [percent]	Water bounded (GEA+)	Other bounded (GEA+)	Mean one-way travel time (others) [minutes]	Mean one-way travel time year (others)	Mean one-way travel time source (others)	Diesel price 2014 (others) [USD/liter]	Gasoline price 2014 (others) [USD/liter]	Household size (others) [people/household]	Household size year (others)	Household size source (others)	Household size comment (others)	Congestion rank (INRIX) [dimensionless]	Peak hours spent in congestion (INRIX) [hours]	INRIX congestion index (INRIX) [dimensionless]	Average congestion rate (INRIX) [percent]	Congestion rank (TomTom) [dimensionless]	Congestion level (TomTom) [× 100 percent]	Congestion change (TomTom) [× 100 percent]	Morning peak (TomTom) [percent]	Evening peak (TomTom) [percent]	Economy (IESE) [dimensionless]	Environment (IESE) [dimensionless]	Governance (IESE) [dimensionless]	Human capital (IESE) [dimensionless]	International impact (IESE) [dimensionless]	Mobility and transportation (IESE) [dimensionless]	Public management (IESE) [dimensionless]	Social cohesion (IESE) [dimensionless]	Technology (IESE) [dimensionless]	Urban planning (IESE) [dimensionless]	CIMI (IESE) [dimensionless]	CIMI ranking (IESE) [dimensionless]	CIMI performance (IESE) [dimensionless]	Urban area name (UEX)	Low BUA - 1990 (UEX) [km2]	Low BUA - 2000 (UEX) [km2]	Low BUA - 2014 (UEX) [km2]	High BUA - 1990 (UEX) [km2]	High BUA - 2000 (UEX) [km2]	High BUA - 2014 (UEX) [km2]	Low BUA % - 1990 (UEX) [percent]	Low BUA % - 2000 (UEX) [percent]	Low BUA % - 2014 (UEX) [percent]	High BUA % - 1990 (UEX) [percent]	High BUA % - 2000 (UEX) [percent]	High BUA % - 2014 (UEX) [percent]	Low BUA population density - 1990 (UEX) [people/km2]	High BUA population density - 1990 (UEX) [people/km2]	Low BUA population density - 2000 (UEX) [people/km2]	High BUA population density - 2000 (UEX) [people/km2]	Low BUA population density - 2014 (UEX) [people/km2]	High BUA population density - 2014 (UEX) [people/km2]	Exports (others) [m3]	Production (others) [m3]	Natgas Export/Production ratio (others)	CH4_waste/capita (others) [tCH4/capita]	CH4_waste+natgas/capita (others) [tCH4/capita]	Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita]	Year from CIA (others)	AQF (CDP/GEA)	AQF (CDP/WB)	AQF (CDP/OTHERS)	AQF (PKU/GEA)	AQF (PKU/WB)	AQF (PKU/OTHERS)	PQF (CDP)	PQF (carbonn)	PQF (WB)	PQF (WB2010)	PQF (OTHERS)	HQF (GEA+)	HQF (OTHERS)	MethodNum	MethodColour	nGDP category	s1 per cap	S1 per capita
12	Anshan			Anshan									3293364.54581	PKU	tCO2	2010.0	Statistical																1.34474582128		41.1166666667	122.983333333	wikipedia	China	East Asia					2449061.0					1529850.0		wikipedia, urban values										200.8	624.0		(urban), from wikipedia											3427	86									12561795.0	36028.53	0.00134474582128		[1]	2014.0	20.0	13157.8947368	[19]																				1.09	1.17																											Anshan Urban Area	275.375	304.6875	327.5625	429.1875	486.6875	634.1875	0.390845382773	0.38501026694	0.340590070185	0.609154617227	0.61498973306	0.659409929815	818.280222284	7833.92505387	432.119231861	5226.01689706	353.920242527	4069.94213073													0.0								6	#F7D76F	1.0	2.15273689957	1.34474582128
13	Anyang			Anyang									917789.196791	PKU	tCO2	2010.0	Statistical																0.462207237668		36.1	114.333333333	wikipedia	China	East Asia					1985666.0					950301.0		wikipedia, urban values										161.1	543.5		(urban), from wikipedia											2072	241									3637605.0	34583.21				2008.0	6.0	5231.0374891	[19]																				1.09	1.17																											Anyang Urban Area	173.3125	215.625	233.6875	217.125	274.75	354.5625	0.443893068673	0.439714504206	0.39725881853	0.556106931327	0.560285495794	0.60274118147	646.604044221	7302.80070477	526.597499324	5384.16452944	406.50812208	4154.19019351													0.0								6	#F7D76F	1.0	0.965787889091	0.462207237668
14	Arlington, VA	City of Arlington, VA						Administrative boundary of a local government				2016.0	1257464.0	CDP	tCO2-eq	2015.0	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	CO2; CH4; N2O	Transportation, fuel oil use, and solid waste emissions data are the most recent available, from a 2012 inventory. Electricity and natural gas consumption in the community reflect actual 2015 data based on utility reporting.	Decreased	Total emissions have decreased since the 2014 accounting. Electricity emissions increased slightly over this time, while natural gas use fell.  We are exploring whether this shift is due to the weather, or perhaps also a fuel shift  from gas to electric heat pumps in large residential buildings (as with retrofits from central systems to individually-metered units).	1223236.0	2480700.0		A	1041064.8954	1150073.65864	1095569.27702	2264300.8954	2373309.65864	2318805.27702	1.0		(37.226486, -76.002594)	38.881	-77.1372613	https://www.google.fr/maps/place/Arlington,+VA,+USA/@38.8808084,-77.1372613,13z/data=!3m1!4b1!4m5!3m4!1s0x89b7b69d7ba7a70f:0xf8cf6fc845f6b093!8m2!3d38.8799697!4d-77.1067698	USA	North America	216700.0	2015.0								230050.0	2016.0	https://www.census.gov/quickfacts/fact/table/arlingtoncountyvirginia/PST045216							67.0				67.2620403	2010.0	https://www.census.gov/quickfacts/fact/table/arlingtoncountyvirginia/PST045216						83.0	14.5				464	73	18871919000.0	USD     US Dollar	2014.0	US Dept of Commerce Bureau of Economic Analysis										2008.0	471.584		[20] The number is for Washington-Arlington-Alexandria, DC-VA-MD-WV																	28.1	(2011-2015) 		0.97	0.86	2.24	2011-2015	https://www.census.gov/quickfacts/fact/table/arlingtoncountyvirginia/PST045216																								see: Washington DC Urban Area																			42870000000.0	7.662e+11	0.06	0.0176989817	0.0367294791	0.0356646952				1.0				1.0				1.0		1.0	2	#9ADCB9	5.0	4.76230939805	5.46604651163
16	Athens	City of Athens			Athens	Athens		Administrative boundary of a local government				2016.0	1260355.0	CDP	tCO2-eq	2014.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O		This is our first year of calculation	It is the first an inventory has been developed using the GPC Standard. Previous inventory did not use this methodology so the data cannot be compared.	3451221.0	4711576.0		A	991456.416489	1011876.47458	1001666.44554	4442677.41649	4463097.47458	4452887.44554	1.0		(37.98381, 23.727539)	37.984	23.727806	https://en.wikipedia.org/wiki/Athens	Greece	Europe	664046.0	2011.0				3400000.0	3464866.0			660000.0	2016.0	http://www.c40.org/cities/athens						1.0	39.0	412.0			39.0	2016.0	http://www.c40.org/cities/athens	8252.42718447	6944.0		167505.977288		208.0	17.5	LGAV	460.0	794.0	495	165	19951634580.0	EUR     Euro	2013.0	www.statistics.gr							129.623	32484.0	[1]	2014.0	117.88992	33292.6350903	[24]	2013.0	22603.5093651	11505.98		88.77		1.41	1.23	43.25	2.35	2004.0	http://www.urbanaudit.org		60.316	1.0		37.46	2014-2017	https://www.numbeo.com/traffic/in/Athens [BASED ON 117 CONTRIBUTORS]	1.63	1.98	2.2	2011	ATHINA   eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en]						41	0.37	0.01	58%	56%	115.0	99.0	95.0	67.0	39.0	46.0	95.0	160.0	98.0	25.0	60.9	94.0	RA	City of Athens Urban Area	216.875	229.9375	235.875	506.25	525.25	540.3125	0.299913569576	0.304477364893	0.303889202029	0.700086430424	0.695522635107	0.696110797971	336.569220202	3234.36000162	356.095099389	6755.868362	316.147452566	6514.13612692	0.0	1.0	0.0	0.013363883	0.0144621319	0.0144621319		0.0		1.0				1.0				1.0	1.0	1.0	1	#75766D	3.0	1.51767643263	1.90962878788
17	Atlanta	City of Atlanta				Atlanta		Administrative boundary of a local government				2016.0	3548215.0	CDP	tCO2-eq	2014.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O	The Atlanta Mayor’s Office of Sustainability uses the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC) as the framework for its annual citywide greenhouse gas (GHG) reports, which is consistent with international standards. The GPC level selected for the 2013 reports was BASIC. This level will serve as a baseline for more comprehensive reports in the future. This report included emissions from electricity and natural gas consumption, vehicles, city-owned landfills, municipal solid waste (MSW) generated inside the city but sent to landfills outside city limits, and emissions from wastewater treatment plants (WWTP), the Metropolitan Atlanta Rapid Transit Authority (MARTA), and the Hartsfield-Jackson Atlanta International Airport (excluding aviation fuel emissions). All these emitting sources are in compliance with the GPC protocol.	Increased	Factors for the increase in emissions are: a growth in the construction market, the construction of a new international terminal at the airport, and cheap prices of oil	5476020.0	9024235.0		A	3105056.19685	3328292.76309	3216674.47997	8581076.19685	8804312.76309	8692694.47997	1.0		(33.7489954, -84.3879824)	33.755	-84.39	https://en.wikipedia.org/wiki/Atlanta	USA	North America	443775.0	2013.0					2897178.0			472522.0	2016.0	https://www.census.gov/quickfacts/fact/table/atlantacitygeorgia/PST045216						1.0	343.0				344.8571685	2010.0	https://www.census.gov/quickfacts/fact/table/atlantacitygeorgia/PST045216		636.0				272.0	16.9	KGAATLAN16			1154	528	2.6e+11	USD     US Dollar	2013.0	http://www.atlantaga.gov/modules/showdocument.aspx?documentid=12107							294.42	52609.0	[1]	2014.0	249.7	47024.4821092	[3], [19]			31036.95				0.78	0.56	52.86	2.68	2010	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table		80.731	0.0		25.5	(2011-2015) 		0.97	0.86	2.25	2011-2015	https://www.census.gov/quickfacts/fact/table/atlantacitygeorgia/PST045216		9.0	71.0	12.2	10.0%	104	0.27	0.03	45%	65%														City of Atlanta Urban Area	1491.75	1340.8125	1265.8125	2099.125	2517.8125	2767.8125	0.41542799457	0.347484531407	0.313815116675	0.58457200543	0.652515468593	0.686184883325	218.565435006	1140.67762612	310.793201119	999.143964479	321.102649217	1196.45322817	42870000000.0	7.662e+11	0.06	0.0176989817	0.0367294791	0.0356646952				1.0				1.0				1.0	1.0	1.0	1	#75766D	5.0	6.8074597161	7.50910010539
18	Auckland	Auckland Council						Administrative boundary of a local government				2016.0	9133523.0	CDP	tCO2-eq	2013.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O	Version 1 (published in 2014)	Increased	There was a 0.9 per cent increase in emissions between 2009 and 2013. The emissions for 2009 were 10,857 ktCO2e (our last emissions inventory). The emissions for 2013 were 10,955 ktCO2e (our most recent emissions inventory). The main driver of the increase was the increased emissions from the industrial processes and product use sector. Over the same timeframe, the population increased by 5.0 per cent and the GDP increased by 8.4 per cent. Subsequently, the emissions intensity by population decreased from 7.6 to 7.3 tCO2e per capita. Similarly the emissions intensity by GDP decreased from 160 to 149 tCO2e per million $NZ (2009/2010 price). Overall, the emissions intensity has reduced and there is evidence that emissions are decoupling from population and economic growth.	1338632.0	10472155.0		A	8102073.11754	8550047.16708	8326060.14231	9440705.11754	9888679.16708	9664692.14231	1.0		(-36.815328, 174.741788)	-36.841	174.74	https://en.wikipedia.org/wiki/Auckland	New Zealand	Oceania	1569900.0	2015.0								1570000.0	2016.0	http://www.c40.org/cities/auckland							4894.0				4893.0		http://www.c40.org/cities/auckland						79.0	15.3				376	0	81186000.0	NZD     New Zealand Dollar	2014.0	Statistics New Zealand							49.52	31766.0	[1]	2014.0	45.0	33358.0429948	[19]																	40.9183673469	2014-2015	The New Zealand Attitudes and Values Study, value given in hours/week	1.11	1.71	3.0	2013	"2013 census, Statistics New Zealand (2014). 2013 Census QuickStats about families and households.
Available from www.stats.govt.nz."						40	0.38	0.05	68%	81%	30.0	100.0	4.0	124.0	76.0	85.0	41.0	40.0	44.0	82.0	71.23	44.0	RA	Auckland Council Urban Area	177.25	189.8125	201.9375	417.875	435.4375	448.5	0.297836588952	0.303578568573	0.310464110695	0.702163411048	0.696421431427	0.689535889305	298.303372145	3226.85137281	284.703772412	2127.19093257	273.2588121	2613.78014473	0.0	1.0	0.0	0.0132737261	0.0234648677	0.0234648677				1.0				1.0				1.0		1.0	1	#75766D	1.0	5.30322302058	5.81753057325
19	Austin	City of Austin			Austin		Austin 	Combination of administrative divisions		City 	2005.0	2016.0	6439000.0	CDP	tCO2-eq	2013.0	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	CO2; CH4; N2O; PFCs		Decreased	Renewable energy in our electricity generation, energy efficiency, and fuel efficiency of the city wide vehicle fleet	7261000.0	13700000.0		A	5552029.30181	5998831.42243	5775430.36212	12813029.3018	13259831.4224	13036430.3621	1.0		(30.2672, -97.7431)	30.267	-97.733333	https://en.wikipedia.org/wiki/Austin,_Texas	USA	North America	888204.0	2015.0				337203.663838		672011.0	2005.0	947890.0	2016.0	https://www.census.gov/quickfacts/fact/table/austincitytexas/PST045216	137000.0	569000.0	1266000.0	1.03775591865	1.04079709639	1.0	704.0		704.0		771.558021	2010.0	https://www.census.gov/quickfacts/fact/table/austincitytexas/PST045216	1092.07		954.561079545		25327.3675226	149.0	20.0	KATT	954.0	670.0	281	1634											107.364	55420.0	[1]	2014.0	81.0	46605.2934407	[19]		49789.0262134		49789.0262134	147.652684573	15.4	0.78	0.56		2.43	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table		80.731	0.0		23.4	(2011-2015) 		0.97	0.86	2.47	2011-2015	https://www.census.gov/quickfacts/fact/table/austincitytexas/PST045216		42.0	47.0	8.0	11.9%	115	0.25	0.03	39%	59%														City of Austin Urban Area	421.125	458.625	487.875	463.0625	616.875	793.9375	0.476284724677	0.426429567643	0.380613389244	0.523715275323	0.573570432357	0.619386610756	548.43883159	1212.85474689	259.000854313	1247.69312267	185.869061161	1689.58485916	42870000000.0	7.662e+11	0.06	0.0176989817	0.0367294791	0.0356646952			1.0	1.0				1.0		0.0	1.0	1.0	1.0	1.0	2	#9ADCB9	2.0	6.09293310629	6.79298230807
20	Balikpapan		City of Balikpapan						Municipality				481003.0	carbonn	tCO2-eq	2015.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		-1.23793	116.852853	carbonn	Indonesia	Southeast Asia			762492.0	2016.0						736806.0	2015.0	Wikipedia											503.3	2015.0	Wikipedia											0	1339					69874824.44	6066.07653239	IDR	2015.0							7.0	12544802.8674	[3], [19]																				0.8	0.93																											Balikpapan Urban Area	37.875	42.0625	40.375	30.375	34.75	35.5625	0.554945054945	0.547599674532	0.531687242798	0.445054945055	0.452400325468	0.468312757202	746.62398958	5712.74611162	1353.14027101	10262.7340435	2058.13503442	15346.4820795															1.0			1.0			1	#75766D	1.0	0.652821773981	0.652821773981
21	Baltimore	City of Baltimore						Administrative boundary of a local government				2017.0	4019044.0	CDP	tCO2-eq	2014.0	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	CO2; CH4; N2O	medium/high. High confidence in stationary energy combustion and transportation emissions. Medium confidence in solid waste emissions (landfill waste emissions) due to proxy for landfill waste characterization, assumptions made for landfill gas capture system efficiency. High confidence about incineration activities in the City due to directly monitored emissions data received from EPA	Increased	Natural gas consumption decreased in residential sector but increased in commercial and industrial sectors. Electricity consumption increased across the board. Even though electricity emissions factors decreased in 2014, the increase in electricity consumption offset improvements in emissions factors. On-road and rail activity increased. Solid waste generation decreased slightly due to increased diversion of waste from the landfill but waste water generation increased.	3211447.0	7230497.0	Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	A	3405233.48211	3714434.04715	3559833.76463	6616686.48211	6925887.04715	6771286.76463	1.0		(39.2903848, -76.6121893)	39.283	-76.616667	https://en.wikipedia.org/wiki/Baltimore	USA	North America	614664.0	2016.0								614664.0	2016.0	https://www.census.gov/quickfacts/fact/table/baltimorecitymaryland/PST045216							210.0				209.6337906	2010.0	https://www.census.gov/quickfacts/fact/table/baltimorecitymaryland/PST045216						240.0	14.7				464	73	4.37e+13	USD     US Dollar	2014.0	National Association of Counties/U.S. Bureau of Economic Analysis							173.747	62291.0	[1]	2014.0	145.0	53406.9981584	[19]																	30.5	(2011-2015) 		0.97	0.86	2.47	2011-2015	https://www.census.gov/quickfacts/fact/table/baltimorecitymaryland/PST045216		218.0	26.0	4.7	6.9%	145	0.19	0.01	33%	46%	16.0	125.0	19.0	16.0	74.0	63.0	3.0	98.0	3.0	13.0	79.82	20.0	RA	City of Baltimore Urban Area	408.75	424.625	437.9375	761.0	853.75	932.125	0.349433639667	0.33215996871	0.319647826285	0.650566360333	0.66784003129	0.680352173715	335.846635778	920.515903001	297.948920099	1863.39230446	227.09653724	1810.48068071	42870000000.0	7.662e+11	0.06	0.0176989817	0.0367294791	0.0356646952				1.0				1.0				1.0		1.0	2	#9ADCB9	3.0	5.79151172775	6.53860320435
22	Bandung		City of Bandung						Municipality				2660.98238	carbonn	tCO2-eq	2013.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		-6.91746	107.619123	carbonn	Indonesia	Southeast Asia			2483977.0	2014.0						2575478.0	2015.0	Wikipedia											167.67	2015.0	Wikipedia											0	355					4.0890012e+13	4586959387.02	IDR	2013.0			21.0		[2]	2008.0	10.0	4175365.34447	[3], [19]																				0.8	0.93					65.0	43.0	9.2	20.1%																			Bandung Urban Area	461.6875	458.9375	464.1875	442.4375	514.875	591.25	0.510645651873	0.471279122008	0.43980576775	0.489354348127	0.528720877992	0.56019423225	443.429834401	5999.47796312	1445.60491344	11988.0802254	1469.52608883	13474.0297049															1.0			1.0			1	#75766D	1.0	0.00103319942162	0.00103319942162
23	Bangalore		Bengaluru Municipal Corporation		Bangalore				Municipality				5568706.7	carbonn	tCO2-eq	2008.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		12.97029	77.596152	carbonn	India	South Asia			9621551.0	2011.0		4130000.0				12339447.0	2017.0	Wikipedia						1.0					709.0	2017.0	Wikipedia	7600.0							43295	705.0	2.0	0	342					13627993701.0	16056968041.6	USD	2011.0			45.313	5051.0	[1]	2014.0	29.0	3550.87547447	[3], [19]	2010.0	1993.0			10.9539951574		0.7	1.09	35.78	4.03	2011.0	Household: http://www.censusindia.gov.in/2011census/hlo/District_Tables/Distt_table/29/HH1604-2900CRCD.pdf -- Population: http://www.censusindia.gov.in/2011-prov-results/paper2/data_files/karnataka/4-population-8-19.pdf	Calculation: pop/household (9588910/2377056)	29.235	0.0					0.91	1.1														166.0	175.0	126.0	161.0	143.0	128.0	167.0	104.0	137.0	170.0	37.3	174.0	B	Bangalore Urban Area	293.125	356.125	419.9375	311.875	414.5	639.125	0.484504132231	0.462124898621	0.396518146946	0.515495867769	0.537875101379	0.603481853054	943.290614469	3375.67477199	1408.09286331	14651.864676	1776.5302903	16544.1187595															1.0			0.0	1.0		1	#75766D	1.0	0.451293052274	0.451293052274
24	Baoding			Baoding									2946568.18924	PKU	tCO2	2010.0	Statistical																0.678879734794		38.8666666667	115.466666667	wikipedia	China	East Asia					4340339.0					1157891.0		wikipedia, urban values										133.1	326.0		(urban), from wikipedia											2399	268									5434022.0	30710.71				2008.0	9.0	7020.28081123	[19]																				1.09	1.17																											Baoding Urban Area	120.0625	135.125	138.25	217.0625	273.9375	326.625	0.356136447905	0.330328495034	0.297391771982	0.643863552095	0.669671504966	0.702608228018	538.276620029	6520.19695908	357.413582609	4995.46509457	290.0256992	4561.99492525													0.0								6	#F7D76F	1.0	2.54477164883	0.678879734794
25	Baotou			Baotou									3363195.27344	PKU	tCO2	2010.0	Statistical																1.596385		40.65	109.833333333	wikipedia	China	East Asia					2106757.0					2070801.0		wikipedia, urban values										349.5	2662.0		(urban), from wikipedia											3920	122									20814400.0	41527.24	0.001596385		[1]	2014.0	31.0	14783.0233667	[19]																				1.09	1.17																											Baotou Urban Area	142.5	152.5	174.6875	196.5625	234.0625	263.8125	0.420276497696	0.394502829426	0.398375142531	0.579723502304	0.605497170574	0.601624857469	1370.69046455	9537.69829038	935.066160014	6904.53186681	1066.30814451	7608.40262895													0.0								6	#F7D76F	1.0	1.62410355869	1.596385
26	Barcelona		Municipality of Barcelona		Barcelona		Barcelona 		Municipality	City 	2006.0		3595726.0	carbonn	tCO2-eq	2012.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		41.38506	2.173403	carbonn	Spain	Europe			1611822.0	2013.0		1605602.0		1605602.0	2006.0	1604555.0	2015.0	Wikipedia	1809000.0	4101000.0	5488000.0	1.01866861446	1.0146732629	1.0		101.9	109.1		101.4	2015.0	Wikipedia	15756.6437684		14716.791934	159056.275412	153718.283112			LEBL	142.0	825.0	606	80					60540000000.0	91314193646.6	EUR	2012.0			171.032	36157.0	[1]	2014.0	195.0	36011.0803324	[3], [19]	2010.0	29076.7226712		29076.7226712	65.719720114	2.3	1.28	1.23	50.9	2.5	2004.0	http://www.urbanaudit.org		76.701	1.0					1.55	1.63	2.4	2014	http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en		124.0	34.0	6.6	11.7%	68	0.31	0.03	51%	52%	77.0	84.0	35.0	39.0	4.0	26.0	67.0	72.0	64.0	43.0	74.1	35.0	RA	Barcelona Urban Area	264.0	262.375	265.1875	539.6875	570.5	589.8125	0.328485885372	0.315023262795	0.310160818713	0.671514114628	0.684976737205	0.689839181287	987.024659173	7287.90876245	484.113409186	6670.96339904	502.985427305	7338.75843427															1.0	0.0	1.0	1.0	1.0	1.0	1	#75766D	4.0	2.24094904818	2.24094904818
27	Barranquilla		Municipality of Barranquilla						Municipality				3023515.0	carbonn	tCO2-eq	2013.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		10.987778	-74.788889	carbonn	Colombia	Latin America & Caribbean			1148506.0	2005.0						1228271.0	2017.0	Wikipedia											161.0	2017.0	Wikipedia											0	1820					19035100000.0	11917850.6127	COP	2013.0							0.0119178506127		Carbonn. But according to 2014 source (http://www.investincolombia.com.co/regional-information/barranquilla.html), we assume reported carbonn units are USD and not COP (and scale to $BN)																				1.04	1.08					98.0	37.0	7.2	15.3%																			Barranquilla Urban Area	76.1875	81.6875	95.5625	137.75	146.375	163.0625	0.356120362255	0.358180323376	0.369502174964	0.643879637745	0.641819676624	0.630497825036	1333.89532479	9505.02317592	677.465644236	11039.8525864	735.985997984	12176.2339362															0.0			1.0			1	#75766D	1.0	2.46160252908	2.46160252908
28	Barreiro	Barreiro						Administrative boundary of a local government				2016.0	203441.0	CDP	tCO2	2014.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2	The data of energy consumption were collected from the Directorate General for Energy and Geology (DGEG).	Increased	A residual increase of 2%.	87408.0	290849.0		A							1.0		(38.660815, -9.079072)	38.667	-9.066667	https://en.wikipedia.org/wiki/Barreiro,_Portugal	Portugal	Europe	78764.0	2011.0								78764.0	2011.0	https://en.wikipedia.org/wiki/Barreiro,_Portugal							33.0				36.39		https://en.wikipedia.org/wiki/Barreiro,_Portugal						20.0	16.0				464	73														2008.0																				21.07	2011		1.64	1.89	2.4	2011	eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en]																								see: Lisbon Urban Area																			0.0	1.0	0.0	0.0311275785	0.0361368851	0.0361368851				1.0				1.0				1.0		1.0	1	#75766D		2.58291859225	2.58291859225
